event_nr,position,runner,agegroup,gender,club,time,age_grade,no_runs,no_volunteered
3,4,73c2bd6e6f7a51a25aef7cfdd490811a930cb30378e26b66461b704ebf40dcd6,SF30-34,Weiblich,ASC Konstanz,21:56,67.55,1,0
3,5,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,23:45,63.09,105,13
3,6,5c9cd2b2d0e369cd1fa694ea93e589d5dac77325ecc7c7c4b5a7fbdd947366d6,VF35-39,Weiblich,,24:40,61.01,1,0
3,7,c3e5b05b9e6838c003e9f07270dd8c57c1236cc1de50779adbe57ac7e176228e,SF30-34,Weiblich,,25:19,58.53,1,0
3,8,92b676cd80466fc25f26464ac9c4b2297a5a8a183e76c0f5eb8a3ab621b26c13,SM30-34,Männlich,,25:36,50.78,43,2
3,9,282530f12dca7e6007832030a9c4ff549db4a11e4314edd47ee0aa9ec856efe6,SF30-34,Weiblich,,25:49,57.39,45,9
3,10,313542beb66570cb81582502243a9d6c0c1dcc33d0312afd27c39467ec4b163e,VF50-54,Weiblich,,26:36,65.48,4,1
3,11,ffbb3e1af6bcb8e691f626a4cc4b0f3963123a43c3384f87740367198a47799e,VM50-54,Männlich,,31:36,47.05,1,0
3,12,eef395eaf7637cd2e907460a3e5bba2c9c84e6709195c878b2b5fd46629d53cc,VF40-44,Weiblich,ASC Konstanz,31:37,48.39,22,111
4,1,3a549bd6bf0d9a17251390ca16c7bdbc534568c0e6d7cf1d626b69f12477db9f,SM25-29,Männlich,,20:10,63.97,56,2
4,2,d14508f91a8c3e25effd9389e22fea0f3116b317894a2146a144e1fb7d47dd97,SF20-24,Weiblich,,20:47,71.21,2,1
4,3,efed74b8af3a3345bc1da1838437c6a01052e1c13c99817fd9d92e9847e1d79b,SM25-29,Männlich,,21:03,61.28,10,2
4,4,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,23:33,63.62,105,13
4,5,313542beb66570cb81582502243a9d6c0c1dcc33d0312afd27c39467ec4b163e,VF50-54,Weiblich,,26:55,64.71,4,1
4,6,a55551e3fad1833b2fdad4305929db6c4316b0d593a065f7c47bedb77fe0c222,VM75-79,Männlich,,27:19,72.00,65,11
4,7,7ba5cd96e27362ebb13511969cc1a86bed5a077f9903ce730270431ff81be1cf,VM60-64,Männlich,,28:34,57.12,7,1
4,8,588bd4981cdb410c1b11d59d584a34afc68f7730ee857be70061838abd22a12b,VM35-39,Männlich,,30:27,44.17,3,2
4,9,b5209396ac90a9b992da807cf23efa95904242a671e13aceaf3980baa69b3aa5,VM55-59,Männlich,,30:46,50.81,115,8
4,10,a68485e947e49f42dbd7efc04599b36b6808850f9163fc0c84037374e504d09c,VF55-59,Weiblich,,45:29,40.34,76,15
4,11,260b59e63817509978583966d484ac62e841728730d4a037167c2e077b2b0ad0,VM45-49,Männlich,,45:32,31.37,6,5
4,12,f78ca3111e10b780593f1e5b62c02a41b683944291ecda0352dd36b124087f7b,NaN,NaN,,NaN,NaN,0,NaN
5,1,3a549bd6bf0d9a17251390ca16c7bdbc534568c0e6d7cf1d626b69f12477db9f,SM25-29,Männlich,,19:26,66.38,56,2
5,2,6b2198f5c2686266ec9a0778edd828345c76a7260a12d2ba0b1f889b3632036c,VM55-59,Männlich,ASC Konstanz,19:30,78.80,6,1
5,3,54f2c6681e340349410a5f65ea61ea633f209e93e2d6f27892249f6fbfb9cff4,VM35-39,Männlich,Nick's Run Club,22:51,58.42,109,192
5,4,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,23:32,63.67,105,13
5,5,7a92cfe30678f97085fd25d04c1fd5d9be248e36e2a4cd5854bb418bb226f119,VF40-44,Weiblich,,24:34,63.09,29,12
5,6,94991abe86716d03fea3cc0e604cdb68e9f0a0e706b0c8c9c18f57692ede1661,SF30-34,Weiblich,San Francisco Road Runners Club,26:50,55.40,33,3
5,7,5649a638e37e6826a16b71615f60af45fccf872e3d8917f750fcd501398ef117,VM35-39,Männlich,,28:18,46.88,255,42
5,8,2dd76d3f7e64a48c07f6e3cc7331a5f7c7a8b749e973cfe9934d2df88afa39b0,SF30-34,Weiblich,,28:21,52.26,194,50
5,9,220b44614da86153709002be97bda39ee2f77302b74ba9d23a0b99fc0f1f556a,SF30-34,Weiblich,,28:27,52.08,106,4
5,10,45eef8dae3683882c0c6b6a994c326724f70837a7931eec86c3b1caa5f26f2b6,SM25-29,Männlich,,28:36,45.16,135,5
5,11,b5209396ac90a9b992da807cf23efa95904242a671e13aceaf3980baa69b3aa5,VM55-59,Männlich,,29:54,52.29,115,8
5,12,10eea9e3e858c54f4648d0fd9d991ff063e761a816b1ab1139a003bf7c828b4f,JW10,Weiblich,,34:07,50.02,16,0
5,13,3e2b66e1377dc80951554abe94b8ecd95d744f96a54ecabe8115ab698501d66b,VM35-39,Männlich,,35:11,37.71,108,49
5,14,6c3bfe2aa1c23ad2bc9cf9e0943dc949be728ddddd6b66008f2da3276830820e,JM11-14,Männlich,,50:15,29.59,6,9
5,15,6285d8837b4d32d7cc879cbeaf02c824fc0bf707b4004210cd32ab9a57291c31,VF45-49,Weiblich,,52:43,31.43,11,0
5,16,389188aded8806a537f0ea4a8b956245e7f54a4e346ab6b4c6ade0b98f83e656,VF35-39,Weiblich,,52:43,28.55,1,2
6,1,e3489378de6a8183018191caaea8e67b0b4d218428703de9a08e6f217727340f,SM25-29,Männlich,,18:21,70.30,1,0
6,2,99a4ab85f073f51ef581ea73451da3ea96528096c671dbd1e2dee1c888fd91db,SM20-24,Männlich,,18:21,70.30,3,1
6,3,e048bcac61e827e8cec764953f4d8a878cd434319b4347a9d1f65ad49748fecc,SF30-34,Weiblich,TSV Klein-Linden,21:18,69.80,166,203
6,4,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,23:15,64.44,105,13
6,5,3e93c348301e4fb97a4448209a561cc4b42d185d3df990f4ff51632eb8964ee1,VM65-69,Männlich,,24:12,71.28,138,137
6,6,8221a5dadc813b0ecfcb720ef101f05a4a99135a69b78cefcba4aed3b0eaf084,VM55-59,Männlich,,25:38,59.95,117,8
6,7,94991abe86716d03fea3cc0e604cdb68e9f0a0e706b0c8c9c18f57692ede1661,SF30-34,Weiblich,San Francisco Road Runners Club,25:41,57.88,33,3
6,8,313542beb66570cb81582502243a9d6c0c1dcc33d0312afd27c39467ec4b163e,VF50-54,Weiblich,,25:46,67.59,4,1
6,9,6a41f6f0eaceb9b1734a4fa991491c29034a5c938036cd5c862b100ab62a1f8e,VM45-49,Männlich,,26:30,54.34,2,0
6,10,b5209396ac90a9b992da807cf23efa95904242a671e13aceaf3980baa69b3aa5,VM55-59,Männlich,,26:34,58.85,115,8
6,11,7ba5cd96e27362ebb13511969cc1a86bed5a077f9903ce730270431ff81be1cf,VM60-64,Männlich,,27:37,59.08,7,1
6,12,8896ecf3a81ba1c55964ba17bf62c1d7651c7527da084bcb94451df7b8fd82af,JW11-14,Weiblich,,30:36,54.36,8,1
6,13,7bf89a07b3be1921e7e5efaa7d43b6a739a5ca72ff3ceda551484ed99add220c,JW10,Weiblich,,32:51,55.15,12,4
6,14,7a92cfe30678f97085fd25d04c1fd5d9be248e36e2a4cd5854bb418bb226f119,VF40-44,Weiblich,,32:51,47.18,29,12
6,15,6285d8837b4d32d7cc879cbeaf02c824fc0bf707b4004210cd32ab9a57291c31,VF45-49,Weiblich,,54:24,30.45,11,0
6,16,ebe42b4c27fb0c3a56b354637d3c60ef3434dc38babb161702673a3cb33eaed9,SF25-29,Weiblich,TSV Klein-Linden,54:26,27.19,84,21
7,1,efed74b8af3a3345bc1da1838437c6a01052e1c13c99817fd9d92e9847e1d79b,SM25-29,Männlich,,20:43,62.27,10,2
7,2,6a41f6f0eaceb9b1734a4fa991491c29034a5c938036cd5c862b100ab62a1f8e,VM45-49,Männlich,,25:25,56.66,2,0
7,3,a55551e3fad1833b2fdad4305929db6c4316b0d593a065f7c47bedb77fe0c222,VM75-79,Männlich,,27:32,71.43,65,11
7,4,fe6b217580afdfb420a63b143fd3be1fd0658ea8945c5ed3cddfc98cd544562d,SM25-29,Männlich,,28:32,45.21,21,9
