date,first_female,first_female_time,first_male,first_male_time,number_of_finishers,number_of_volunteers,event_number
2022-04-30,cf00b5a79ecb642b402fa774b01cd40b6b04384b679c582a34e7c551bbfbcafc,23:15,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,19:01,28,9,38
2022-04-23,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,23:44,8d52d94b4fe29553bc4e3e7af4c58dc3fe44803bc8e57dfe47a52c35b010bfd1,21:05,25,8,37
2022-04-16,03eb23104c62ff084603b8402f881e2f61e5ff1b55adcc286281c0dec9c1dcd4,27:37,8d52d94b4fe29553bc4e3e7af4c58dc3fe44803bc8e57dfe47a52c35b010bfd1,23:02,11,7,36
2022-04-09,00700a88f9fe1fa9dacd934a8fca149b7662ec031d2ddeec8ccd1fec37dd3df8,24:15,1a40886c54af9f41c5d7f800354b8b1e86509ad23d37013a6104866341fba177,18:45,23,7,35
2022-04-02,8f9108b90b6c7ea10b4436bdc6600968239faaedfa94749a6827b59494942f6e,43:07,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,20:11,8,10,34
2022-03-26,3381b7358d7d847c3c3a0c17d2b921505e343b1f1276610a66541dd80655cfc7,34:20,8f7bf23bf033a9cd7568cc5f16183f427dd80bc7642c9c548df4d71f3efcc181,20:52,22,8,33
2022-03-19,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,23:58,f7715c082c787a52ab704ad7916e54de85d4267ebbe4c2068550638158650a26,20:40,25,8,32
2022-03-12,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,24:02,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,19:39,23,7,31
2022-03-05,aeeb339f67ed1a996cf20195bde84130af8bc8e1e58996cfba8fae1af929fb64,26:52,df833707e4d2a1726118d945931ef648786d3bfabfe563ab2b4dadd2b6537ede,21:53,10,7,30
2022-02-26,b06529f4d28da53188e90909de31f33e9bae858aa6ab4c894c4b67be19e00316,22:08,b26338354e37292c76cab254f0af51df96bb9c7d99c0ca6dfbbf03db8570fdd5,18:52,37,7,29
2022-02-19,cf00b5a79ecb642b402fa774b01cd40b6b04384b679c582a34e7c551bbfbcafc,22:28,0a25f7298b0318e9784a79cec09944795a34101958c41d16fa9197aadb84723f,25:06,12,7,28
2022-02-12,9cfa31db1052adaf8cc7fe06127b4c6caf9d7a1fddf30c94ea90a0655765ca46,25:46,96723637cb58beb52940396544d0a1e19330c2d303e4b05d17acff5ba5d3391a,24:05,11,6,27
2022-02-05,d843dc669cca5796a209e247e878098445168aaf2a0c713814fabf5e520b1734,23:54,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,19:43,15,7,26
2022-01-29,cf00b5a79ecb642b402fa774b01cd40b6b04384b679c582a34e7c551bbfbcafc,24:35,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,20:04,13,7,25
2022-01-22,cf00b5a79ecb642b402fa774b01cd40b6b04384b679c582a34e7c551bbfbcafc,22:50,3722a0a9f8edbffd259a35fe37167df27763125d9744b124fd38c319447717ce,17:17,17,7,24
2022-01-15,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,27:18,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,20:38,12,6,23
2022-01-08,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,21:27,4be5ae2996e3cf9431558706f7a4b47ab88ead8b808a406a54832b9873e7b02b,17:42,16,6,22
2022-01-01,cf00b5a79ecb642b402fa774b01cd40b6b04384b679c582a34e7c551bbfbcafc,22:57,b26338354e37292c76cab254f0af51df96bb9c7d99c0ca6dfbbf03db8570fdd5,18:46,13,5,21
2021-12-25,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,23:57,bffe164c746da7aa8612950043180e587c3c83b3b6d3abed8ccd3994da93fd4c,22:32,8,5,20
2021-12-18,e55fe61272cfdf72ed2fad766de1dfbac34d88a614f3f9c7cbfa43859202b14e,27:45,82ec48acbcdf289bc0743973677029e7e407612ba0f3a5f2fd6c146b23f01f5b,19:59,11,6,19
2021-12-11,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,24:24,8d52d94b4fe29553bc4e3e7af4c58dc3fe44803bc8e57dfe47a52c35b010bfd1,20:23,18,8,18
2021-12-04,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,24:16,f6637fa6a23e82dd5b7c383abc701fe3a5b0fd830a5eef81540211e9af001537,20:23,12,6,17
2021-11-27,cf00b5a79ecb642b402fa774b01cd40b6b04384b679c582a34e7c551bbfbcafc,25:39,0aced3f6482453d70f761c6d58433a9de9359a91e1fd476dd9157f97bba53b88,19:40,23,7,16
2021-11-20,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,24:25,c9f147ee25c932542ba2ef174d4058cbf7e319be37f4aa7726aa5acd1ad61405,19:51,22,8,15
2021-11-13,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,24:40,d59008e46fecb267d4ff0948976dba547552da4e6156e88317a45d204e4bab22,19:20,16,7,14
2021-11-06,5132411d1f21a0f6eb41ec626126c024d6351ddd3e2387e2c529f014947e5b2a,23:48,feb46857ee8006d0199fb7d06371dcecfc7d2be77c138ce9ebbe88e0c2613b2d,17:35,21,6,13
2021-10-30,aeeb339f67ed1a996cf20195bde84130af8bc8e1e58996cfba8fae1af929fb64,26:24,1521fbac8ffa42a0c7edb1188b8ca9eb470b696c6e4b8de099faee53c450691b,16:51,32,8,12
2021-10-23,43ad13fa4b46e9f977774e59e39ccca45579374636ba24eb9a7685b217cbf270,25:54,f6637fa6a23e82dd5b7c383abc701fe3a5b0fd830a5eef81540211e9af001537,20:15,21,5,11
2021-10-16,2a41bfb8e85a97180984b30fdcba345c41e1162cef70b8c714c00c9a433d0399,21:51,b6d9617cdb15470febaaaeb52ad823e7f812959df30ecccf49bae2db01a03307,20:17,14,5,10
2021-10-09,5132411d1f21a0f6eb41ec626126c024d6351ddd3e2387e2c529f014947e5b2a,24:13,5d96410f38b532e005b887aabc3a6b78baa158dba3ea54bf108e7476e1575b42,21:38,9,7,9
2021-10-02,72ce8ac94411a1dc907a3cdf0a504480e146ad7286d70574c4298d6588fe9c50,50:49,d59008e46fecb267d4ff0948976dba547552da4e6156e88317a45d204e4bab22,18:30,9,5,8
2021-09-25,036495d734cc5f5d942fba6c32dbd311e049be544638cc4f0008439d47852222,29:08,f7715c082c787a52ab704ad7916e54de85d4267ebbe4c2068550638158650a26,20:43,13,7,7
2021-09-18,47ab44397a782e4d7c5bf71a304865c1af7b5de62ae83c6dd02daacbffca6716,21:18,74562107cc4d94f3cff5a8ac0649ccb0126e810756d680a19b396bf0155873fe,18:21,16,5,6
2021-09-11,5132411d1f21a0f6eb41ec626126c024d6351ddd3e2387e2c529f014947e5b2a,24:34,fcaa2f35e62212c9b32395154af16260b4a730efdac3db2cfc699fcecfce7d02,19:26,16,5,5
2021-09-04,3237f6ce5768a14ba9a288ddead897faf52bf3943d295dfbd27e5d7efc8f6906,20:47,fcaa2f35e62212c9b32395154af16260b4a730efdac3db2cfc699fcecfce7d02,20:10,12,6,4
2021-08-28,ae6d4bf81303e4f68a6ddc82bcc4e8aa02997846d4605279e4a525fd6d470c19,21:56,fcaa2f35e62212c9b32395154af16260b4a730efdac3db2cfc699fcecfce7d02,20:05,12,8,3
2021-08-21,25bff5294dbacb25d634b1ca630a081fce30f7af3580ccb35b35a5ec494ef786,26:42,7ce80106ea8d801413e8ad19492b14a738b38a2e6ff195fe3e59df6624d3318a,18:11,13,6,2
2021-08-14,e987688dd7f55d4ef763967486fb70b4358a6ef5bd736f20e6d535283fde287f,25:15,49952081119923f02aee126b781f13b6bfd8a08fcb24ead80b6bf347d912c162,18:31,26,7,1
