date,first_female,first_female_time,first_male,first_male_time,number_of_finishers,number_of_volunteers,event_number
2024-02-17,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,20:56,d3941ba1e955e605db58616a2a1d2fcfa8190f8b1a63ec19f441dcfd39ab8e7c,20:47,25,7,134
2024-02-10,3065fe03aa3ff78b291f5e32ff4e79a4fc213ce9301c8e2ca1c0c06e134e80f2,25:28,beef45d776a00aa27b9a122f79de5865ef00ea5f2ef895a83e916f055f9ff528,21:18,40,9,133
2024-02-03,33a31dd544794fc6d73a532290e18952343c3a74d0530c7ddc48de91db0fcff0,21:31,37e7c58c083714f0e19957e938196e6b780e6540d3964f1b7aab9f4578ac9911,19:04,29,11,132
2024-01-27,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,23:00,29096eef25e3c192c6afba1385d589c7905b95fe634d3727c278c0f868d8dae2,22:12,27,9,131
2024-01-20,34f97ab673261d23160ff7a189ccf5527cff1364e130355c26e6517ed205cb72,25:11,9a221fbc9344aacc694699a254402a5dbc2ebef24d5ce2a91b3280e465dd8c4f,19:54,26,9,130
2024-01-13,3ffcd4d8085ee8e9444aa9b575cb1dca9edc055b552e6910dd8620e60a7af8f3,30:36,9a221fbc9344aacc694699a254402a5dbc2ebef24d5ce2a91b3280e465dd8c4f,20:34,14,7,129
2024-01-06,6de11785d04a5f8101a8410d8ca82714cd9b80a43a6e034e8f8b7aedcf180ce2,27:54,0221e5d761a63ef4c02ded0a46a3cf990b1da8e96925a8270645b3028f52e3ab,19:21,20,8,128
2024-01-01,6de11785d04a5f8101a8410d8ca82714cd9b80a43a6e034e8f8b7aedcf180ce2,27:29,9a221fbc9344aacc694699a254402a5dbc2ebef24d5ce2a91b3280e465dd8c4f,20:09,19,7,127
2023-12-30,1ee2442213e6f26c8bf3312a95ab1a23ed70d93caff9f775414a6f53e9f6146c,23:05,f85fad5be51b14ba85974c853bd69bee79de4f56328ee596740621949b5efa00,18:59,32,9,126
2023-12-23,6de11785d04a5f8101a8410d8ca82714cd9b80a43a6e034e8f8b7aedcf180ce2,27:40,cc1b18e8e332ba7ce8d6272be4748dc2fb78ea2b23fce3cc24671ce92e33e3be,18:44,26,8,125
2023-12-16,ea1fbf3e84b8cd5179839dd93b129c22f1215addead8e60d202dccda7caa0654,21:24,cc1b18e8e332ba7ce8d6272be4748dc2fb78ea2b23fce3cc24671ce92e33e3be,17:53,19,7,124
2023-12-09,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,21:53,df833707e4d2a1726118d945931ef648786d3bfabfe563ab2b4dadd2b6537ede,21:54,14,8,123
2023-12-02,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,25:24,5305f10897c8c7840638c21cdc8bcbdc1da410002ad9510ce749260b05ca5ca9,24:20,12,6,122
2023-11-25,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,19:38,f85fad5be51b14ba85974c853bd69bee79de4f56328ee596740621949b5efa00,18:48,25,10,121
